description,sku,price,retail,uri,img
GASEOSA  PEPSI - BOTELLA 500 ML,pepsi-gaseosa-10456593/p/,s/ 1.8,tottus,https://www.tottus.com.pe/pepsi-gaseosa-10456593/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-C6slhVTX.jpg
Pan Blanco Mediano Bimbo Bolsa 500 g,141803,S/. 8.30,wong,https://www.wong.pe/pan-blanco-mediano-bimbo-bolsa-500-g-141803/p,https://wongfood.vteximg.com.br/arquivos/ids/354175-1000-1000/141803-01-69799.jpg?v=637231860223030000
Pan de Molde Blanco BIMBO Mediano Bolsa 500g,20019588,S/ 8.30,plaza_vea,https://www.plazavea.com.pe/pan-de-molde-blanco-bimbo-mediano-bolsa-500g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
PAN DE MOLDE BLANCO MEDIANO BIMBO - BOLSA 500 GR,bimbo-pan-de-molde-blanco-mediano-40457334/p/,s/ 8.3,tottus,https://www.tottus.com.pe/bimbo-pan-de-molde-blanco-mediano-40457334/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-hi-DUiYD.jpg
Leche Evaporada Entera Gloria Lata 400 gr,59521001,S/. 3.35,wong,https://www.wong.pe/leche-evaporada-entera-gloria-lata-400-gr-59521001/p,https://wongfood.vteximg.com.br/arquivos/ids/363948-1000-1000/59521001-01-65.jpg?v=637279704140170000
Leche Evaporada Entera Gloria Lata 400 gr,59521001,S/. 3.20,metro,https://www.metro.pe/leche-evaporada-entera-gloria-lata-400-gr-59521001/p,https://wongfood.vteximg.com.br/arquivos/ids/363948-1000-1000/59521001-01-65.jpg?v=637279704140170000
Leche GLORIA Evaporada Entera Lata 400g,949,S/ 3.20,plaza_vea,https://www.plazavea.com.pe/leche-evaporada-gloria-azul-lata-400g/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Leche GLORIA Evaporada Entera Lata 400g,949,S/ 3.35,vivanda,https://www.vivanda.com.pe/leche-evaporada-gloria-azul-lata-400g/p,https://vivanda.vteximg.com.br/arquivos/ids/185485-618-618/949.jpg?v=637287874773130000
LECHE EVAPORADA ENTERA GLORIA - LATA 400 GR,gloria-leche-evaporada-entera-41119510/p/,s/ 3.5,tottus,https://www.tottus.com.pe/gloria-leche-evaporada-entera-41119510/p/,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/img-VL4OOhGb.jpg
Huevos Pardos Wong Bandeja 15 Unid,723464,S/. 6.75,wong,https://www.wong.pe/huevos-pardos-wong-bandeja-15-unid-723464/p,https://wongfood.vteximg.com.br/arquivos/ids/231013-1000-1000/Huevos-Pardos-Wong-Bandeja-15-Unid-1-9885192.jpg?v=636667670228500000
Huevos Pardos Metro Bandeja 15 Unid,3323,S/. 6.49,metro,https://www.metro.pe/huevos-pardos-metro-bandeja-15-unid-3323/p,https://wongfood.vteximg.com.br/arquivos/ids/241667-1000-1000/3323-01-5621.jpg?v=636711559186330000
Huevos de Gallina BELL'S Pardos Bandeja 15un,2294,S/ 6.49,plaza_vea,https://www.plazavea.com.pe/huevos-de-gallina-bells-pardos-bandeja-15un/p,https://plazavea.vteximg.com.br/arquivos/Cintillo-M-25-03.png?v=637207552647430000
Huevos de Gallina BELL'S Pardos Bandeja 15un,2294,S/ 6.99,vivanda,https://www.vivanda.com.pe/huevos-de-gallina-bells-pardos-bandeja-15un/p,https://vivanda.vteximg.com.br/arquivos/ids/179207-618-618/2294.jpg?v=637014132103970000
